id,title,imdbID,year,rtID,rtAllCriticsRating,rtAllCriticsNumReviews,rtAllCriticsNumFresh,rtAllCriticsNumRotten,rtAllCriticsScore,rtTopCriticsRating,rtTopCriticsNumReviews,rtTopCriticsNumFresh,rtTopCriticsNumRotten,rtTopCriticsScore,rtAudienceRating,rtAudienceNumRatings,rtAudienceScore,US Gross,Worldwide Gross,US DVD Sales,Production Budget,MPAA Rating,Running Time (min),Distributor,Source,Major Genre,Creative Type,Director,IMDB Rating,IMDB Votes
1,Toy story,114709,1995,toy_story,9,73,73,0,100,8.5,17,17,0,100,3.7,102338,81,191796233,361948825,,30000000.0,G,,Walt Disney Pictures,Original Screenplay,Adventure,Kids Fiction,John Lasseter,8.2,151143.0
2,Jumanji,113497,1995,1068044-jumanji,5.6,28,13,15,46,5.8,5,2,3,40,3.2,44587,61,100458310,262758310,,65000000.0,PG,,Sony Pictures,Based on Book/Short Story,Adventure,Fantasy,Joe Johnston,6.4,54973.0
7,Sabrina,47437,1954,1018047-sabrina,7.4,31,28,3,90,7.2,5,5,0,100,3.8,12812,87,53458319,87100000,,58000000.0,PG,,Paramount Pictures,Remake,Romantic Comedy,Contemporary Fiction,Sydney Pollack,6.0,15749.0
10,GoldenEye,113189,1995,goldeneye,6.8,41,33,8,80,6.2,11,7,4,63,3.4,28260,78,106429941,356429941,,60000000.0,PG-13,,MGM,Based on Book/Short Story,Action,Contemporary Fiction,Martin Campbell,7.2,69199.0
11,The American President,112346,1995,american_president,7,49,44,5,89,7.2,18,16,2,88,3.2,8320,71,60022813,107822813,,62000000.0,PG-13,,Sony Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Rob Reiner,6.8,22780.0
14,Nixon,113987,1995,nixon,6.7,56,42,14,75,6.1,18,12,6,66,3.5,3256,72,13668249,34668249,,45000000.0,R,,Walt Disney Pictures,Based on Real Life Events,Drama,Dramatization,Oliver Stone,7.1,13761.0
15,Cutthroat Island,112760,1995,cutthroat_island,4.4,31,14,17,45,4.7,6,3,3,50,2.6,3350,42,10017322,10017322,,92000000.0,PG-13,,MGM,Original Screenplay,Adventure,Historical Fiction,Renny Harlin,5.3,10346.0
16,Casino,112641,1995,1067987-casino,7.2,58,47,11,81,6.3,16,11,5,68,3.9,66463,91,42438300,110400000,,52000000.0,R,,Universal,Based on Book/Short Story,Drama,Historical Fiction,Martin Scorsese,8.1,108634.0
17,Sense and Sensibility,114388,1995,1068832-sense_and_sensibility,7.9,49,48,1,97,8.1,14,13,1,92,3.8,32782,88,42993774,134993774,,16500000.0,PG,,Sony Pictures,Based on Book/Short Story,Drama,Historical Fiction,Ang Lee,7.7,31279.0
18,Four Rooms,113101,1995,four_rooms,3.5,42,6,36,14,2.9,11,0,11,0,3.5,14266,72,4301000,4301000,,4000000.0,R,,Miramax,Original Screenplay,Comedy,Contemporary Fiction,Robert Rodriguez,6.4,34328.0
19,Ace Ventura: When Nature Calls,112281,1995,ace_ventura_when_nature_calls,4.1,25,9,16,36,0,3,1,2,33,3.2,87306,73,108360063,212400000,,30000000.0,PG-13,,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Steve Oedekerk,5.6,51275.0
20,Money Train,113845,1995,money_train,4,24,4,20,16,4.5,5,1,4,20,2.7,5263,38,35324232,77224232,,68000000.0,R,,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Joseph Ruben,5.2,13972.0
21,Get Shorty,113161,1995,get_shorty,7.7,49,42,7,85,8.4,14,14,0,100,3.2,10155,63,72021008,115021008,,30250000.0,R,,MGM,Based on Book/Short Story,Comedy,Contemporary Fiction,Barry Sonnenfeld,6.9,33364.0
22,Copycat,112722,1995,1065837-copycat,6.6,32,24,8,75,7.4,5,4,1,80,3.1,5628,58,32051917,32051917,,20000000.0,R,,Warner Bros.,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Jon Amiel,6.5,17182.0
23,Ninja Assassin,1186367,2009,1198524-ninja_assassin,4.3,106,27,79,25,4.6,20,6,14,30,3.4,107023,58,38122883,57422883,14085314.0,50000000.0,R,,Warner Bros.,Original Screenplay,Action,Contemporary Fiction,James McTeigue,6.3,20078.0
25,Leaving Las Vegas,113627,1995,leaving_las_vegas,7.7,45,40,5,88,8.1,11,11,0,100,3.6,12742,82,31983777,49800000,,4000000.0,R,,MGM,Based on Book/Short Story,Drama,Contemporary Fiction,Mike Figgis,7.6,42131.0
26,Othello,114057,1995,1069707-othello,6.3,38,26,12,68,6.1,11,7,4,63,3.3,2018,66,2844379,2844379,,11000000.0,R,,Sony Pictures,Based on Play,Drama,Historical Fiction,,6.9,4289.0
32,Twelve Monkeys,114746,1995,prem-no-public-issue,0,0,0,0,0,0,0,0,0,0,0,0,0,57141459,168841459,,29000000.0,R,,Universal,Based on Short Film,Drama,Science Fiction,Terry Gilliam,8.1,169858.0
34,Babe,112431,1995,1065598-babe,8.2,54,53,1,98,8.2,11,11,0,100,3,22954,54,63658910,246100000,,30000000.0,G,,Universal,Based on Book/Short Story,Adventure,Contemporary Fiction,Chris Noonan,7.3,35644.0
36,Dead Man Walking,112818,1995,1068779-dead_man_walking,8.2,53,50,3,94,7.9,20,18,2,90,3.6,15450,81,39387284,83088295,,11000000.0,R,,Gramercy,Based on Real Life Events,Drama,Dramatization,Tim Robbins,7.6,32159.0
39,Clueless,112697,1995,school_of_senses,0,0,0,0,0,0,0,0,0,0,0,0,0,56598476,56598476,,13700000.0,PG-13,,Paramount Pictures,Based on Book/Short Story,Comedy,Contemporary Fiction,Amy Heckerling,6.7,39055.0
41,Richard III,114279,1995,1068177-richard_iii,8.1,43,41,2,95,7.6,11,10,1,90,3.7,1552,82,2684904,4204857,,9200000.0,R,,MGM,Based on Play,Drama,Historical Fiction,,7.5,6625.0
43,Restoration,114272,1995,1069339-restoration,6.3,31,21,10,67,6.4,10,6,4,60,3.3,1103,56,4100000,4100000,,18000000.0,R,,Miramax,Based on Book/Short Story,Drama,Historical Fiction,,6.5,4024.0
44,Mortal Kombat,113855,1995,mortal_kombat,4.4,26,9,17,34,3.9,6,2,4,33,2.8,18291,55,70433227,122133227,,20000000.0,PG-13,,New Line,Based on Game,Action,Fantasy,Paul Anderson,5.4,29605.0
45,Live Free or Die Hard,337978,2007,live_free_or_die_hard,6.8,197,161,36,81,6.7,38,30,8,78,3.9,1145097,86,134529403,383531464,100774964.0,110000000.0,PG-13,128.0,20th Century Fox,Based on Book/Short Story,Action,Contemporary Fiction,Len Wiseman,7.5,130559.0
47,Shichinin no samurai,47478,1954,1018639-seven_samurai,9.2,49,49,0,100,8.6,10,10,0,100,4.5,29509,97,271736,271736,,500000.0,,,Cowboy Pictures,Original Screenplay,Action,Historical Fiction,Akira Kurosawa,8.8,96698.0
48,Pocahontas,114148,1995,1063452-pocahontas,6,49,27,22,55,6.6,14,10,4,71,3.2,37858,63,141579773,347100000,,55000000.0,G,,Walt Disney Pictures,Based on Real Life Events,Adventure,Historical Fiction,,6.0,26690.0
50,The Usual Suspects,114814,1995,usual_suspects,7.5,47,41,6,87,6.9,14,12,2,85,4.2,109588,95,23341568,23341568,,6000000.0,R,,Gramercy,Original Screenplay,Drama,Contemporary Fiction,Bryan Singer,8.7,266890.0
55,Georgia Rule,791304,2007,georgia_rule,3.8,116,20,96,17,3.4,30,2,28,6,3,64056,55,18882880,20819601,19382312.0,20000000.0,R,111.0,Universal,Original Screenplay,Drama,Contemporary Fiction,Garry Marshall,5.8,10902.0
60,The Indian in the Cupboard,113419,1995,indian_in_the_cupboard,6.2,19,13,6,68,0,2,1,1,50,2.7,5127,41,35627222,35627222,,45000000.0,PG,,Paramount Pictures,Based on Book/Short Story,Adventure,Kids Fiction,Frank Oz,5.7,4836.0
